p_id,week,name,brand,product,company,type,category,time,expiry_days,ingr,food_color,flavor,location,allergen,nw,energy,energyfat,protein,carbs,sugar,sugars,fat,st,tf,mufa,pufa,maltilol,sodium,fibre,cf,df,cholesterol,salt,iron,potassium,calcium,iodine,vita,vitab1,vitab2,vitab3,vitab5,vitab6,vitab7,vitab12,vitac,vitd,vite,folic,folate,zinc,chromium,selenium,magnesium,phosphorus,Pantothenate,Moisture,Total Ash,Polyols,Acid Insoluble Ash
81,week3,RR Mangharam Sweet Raspberry,RR Mangharam,Sweet Raspberry,Not Mentioned,Veg,Wafers,9,108,"Wheat Flour,Sugar,Edible Vegetable Oil,Salt,Raising Agent-INS 500(ii),Emulsifier-INS 322,Emulsifier-INS 471",Permitted Natural Colours-INS 110,Not Mentioned,Bengaluru,Not Mentioned,75g,568 Kcal,,5g,56g,31g,,36g,17g,0g,14g,4g,,54mg,,,2g,0mg,,,,10mg,,,,,,,,,,,,,,,,,,,,,,,,
82,week3,Marshmallow Fluffy Fruit Flavour,Marshmallow,Fluffy Fruit Flavour,Not Mentioned,Non Veg,Confectionery,18,216,"Sugar,Glucose Syrup,Water,Dextrose,Fish gelatin food grade-Halal ,Corn Starch","Artificial Colours-E127,E110,E102,E133","Strawberry,Orange,Apple,Berry","Shandong, China",Not Mentioned,160g,2284.8 kj,,,153.5g,126.4g,,,,,,,,28.8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,week3,Monginis Bar Cake Fruit,Monginis,Bar Cake Fruit,Monginis Food Pvt Ltd,Veg,Pastries,4,48,"Refined Wheat Flour,Sugar,Water,Edible Vegetable Oil,Crystallized Fruit,Milk Solids,Humectant-INS 325,Humectant-INS 422,Humectant-INS 1520,Iodized Salt,Raising Agent-INS 500(ii),Raising Agent-INS 341(i),Modified Starch-INS 1442,Emulsifier-INS 435,Emulsifier-INS 471,Emulsifier-INS 491,Stabilizer-INS 412",Permitted Class II Preservative-INS 200,"Mix Fruit,Vanilla",Thane,"Milk Solid,Wheat,Manufactured under facility that also handles Milk Products & Nuts",,378.56 Kcal,,07.64g,49.02g,29.34g,,16.88g,9g,01.69g,,,,,,,,7mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,week3,Cadbury Nutties,Cadbury,Nutties,Mondalez International group,Veg,Confectionery,10,120,"Sugar,Milk Solids,Cashew nuts,Cocoa Butter,Cocoa Solids,Emulsifier-INS 442,Emulsifier-INS 476,Stabilizer- INS 1400,Stabilizer-INS 414,Edible Salt,Glazing agent-904,Almonds",Not Mentioned,Ethyl Vanillin,Raisen,"Milk,Cashew nuts,Almonds,Sulphates",30g,506 Kcal,,5.1g,67.2g,61.7g,,24.5g,12.9g,0.1g,,,,111mg,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,week3,Rajaram Seedai Pepper,Rajaram,Seedai Pepper,Not Mentioned,Veg,Savouries,2,24,"Rice Flour,Black Gram Flour(urad dal),Gram Flour,Black Pepper,Refined Palm Olien,Partially Hydrogenated Palm Oil,Til Oil,Sesame Seeds,Raising Agent-INS 500(ii),Cumin Seeds,Asafoetida,Salt",Not Mentioned,Not Mentioned,Chennai,"Peanut,Almond,Cashew,Soy,Milk,Coconut,Sesame",70g,554 Kcal,,8.3g,49.1g,,,36.1g,15.2g,,,,,673mg,,,,0,,2.8mg,,,,,,,,,,,,,,,,,,,,,,,,,,
86,week3,CBL Munchee Super Cream Cracker,CBL Munchee,Super Cream Cracker,Not Mentioned,Veg,Biscuits,9,108,"Wheat Flour,Edible Vegetable Oil-Palmolein Oil,Edible Vegetable Fat-Palm Kernel Oil,Malt-Barley,Edible Common Salt,Corn Flour,Leavening Agent-Yeast,Leavening Agent-INS 500(ii),Leavening Agent-INS 503(ii),Soya Lecithin,Vitamins,Ascorbyl Palmitate-E304",Not Mentioned,Not Mentioned,"Pannipitiya,Sri Lanka",Not Mentioned,120g,444.32 Kcal,,9.73g,71.20g,0.56g,,13.40g,6.03g,0.10g,,,,701.48mg,,,0.80g,,,,,,,150 mcg,0.225mg,,2.85mg,0.9mg,0.3mg,,0.45mcg,,0.75mcg,1.5mg ,60mcg,,,,,,,,,,,
87,week3,Cadbury Gems,Cadbury,Gems,Mondalez International group,Veg,Confectionery,11,132,"Sugar,Hydrogenated Vegetable Fat,Milk Solids,Cocoa Solids,Refined Wheat Flour,Emulsifier-INS 414,Emulsifier-INS 442,Emulsifier-INS 476,Liquid Glucose,Glazing agent-903","Permitted Food Colours-171,102,133,124,127,122,132,110","Caramel,Ethyl Vanillin",Solan,Not Mentioned,17.8g,463 Kcal,,2.0g,79.3g,75.1g,,15.0g,13.8g,0.1g,,,,61mg,,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,week3,Doritos Nacho Cheese Flavour,Doritos,Nacho Cheese Flavour,pepsico,Veg,Namkeen Snack,6,72,"Corn,Edible Vegetable Oil-Palmolein Oil,Milk Solids,Whey Powder,Cheese Powder,Skimmed Milk Powder,Wheat Flour,Salt,Onion Powder,Spice Extract,Pepper Powder,Chilli Powder,Garlic Powder,Tomato Powder,Sugar,Citric Acid-INS 330",Not Mentioned,Butter,Howrah,Not Mentioned,39g,505kcal,,6.4g,63.8g,4.3g,,24.9g,11.6g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,week3,24 Mantra Bites Desi Mazaa,24 Mantra Bites,Desi Mazaa,Not Mentioned,veg,Savouries,6,72,"Rice,Corn,Whole Wheat,Jowar,Ragi,Groundnut oil-Organic,Sugar-Organic,Salt,Chili,Cumin,Coriander,Onion Powder,Garlic Powder,Acidity Regulator-INS 330,Antioxidant-Mixed Tocopherols,Asafoetida",Not Mentioned,Turmeric,Mahbub Nagar,"Wheat Gluten,Peanut,Traces of soy bean,Tree nuts",25g,470 Kcal,,7g,66.0g,7.1g,,20g,3.4g,,8.7g,6.4g,,1290mg,,,4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,week3,Kettle Studio Sharp Jalapenos & Cream Cheese,Kettle Studio,Sharp Jalapenos & Cream Cheese,Not Mentioned,Veg,Chips,6,72,"Potato,Edible Vegetable Oil,Salt,Maltodextrin,Milk Solids,Sugar,Cheese,Food acid-330,EmulsifyIng and Stabilizing Agent-339(ii),Flavour Enhancer-INS 631,Flavour Enhancer-INS 627,Preservative-220,Anti Caking Agent-INS 551,Anti Caking Agent-INS 470",Not Mentioned,Not Mentioned,Mumbai,Not Mentioned,47g,528.9 Kcal,,9.3g,52.5g,0.0g,,31.3g,,,,,,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
