p_id,week,name,brand,product,company,type,category,time,expiry_days,ingr,food_color,flavor,location,allergen,nw,energy,energyfat,protein,carbs,sugar,sugars,fat,st,tf,mufa,pufa,maltilol,sodium,fibre,cf,df,cholesterol,salt,iron,potassium,calcium,iodine,vita,vitab1,vitab2,vitab3,vitab5,vitab6,vitab7,vitab12,vitac,vitd,vite,folic,folate,zinc,chromium,selenium,magnesium,phosphorus,Pantothenate,Moisture,Total Ash,Polyols,Acid Insoluble Ash
106,week4,Patanjali Soyavita-Soya Piri Piri Chips,Patanjali,Soyavita-Soya Piri Piri Chips,Not Mentioned,Veg,Chips,9,108,"Rice Flour,Starch,Palmolien Oil,Defatted Soya Flour,Urad Dal,Chilli,Pepper,Onion,Garlic,Tomato,Corn Starch,Edible Common Salt,Sugar,Hydrolyzed Vegetable Protein-Soya,Acidity Regulator-INS 330,Anti Caking Agent-INS 551",Not Mentioned,Not Mentioned,Sonepat,"Soya,Milk,Wheat,Peanuts,Tree Nuts,Sesame,Oats",100g,487 Kcal,,3.43g,70.47g,2.79g,,20.27g,7.3g,0g,4.43g,8.52g,,997mg,,,2.04g,0mg,,3.95mg,,19mg,,,,,,,,,,,,,,,,,,,,,,,,
107,week4,Patanjali Jeera Bites,Patanjali,Jeera Bites,Not Mentioned,Veg,Biscuits,6,72,"Whole Wheat Flour,Edible Vegetable Oil,Sugar,Malt Extract,Dextrose,Low Sodium Salt,Raising Agent-INS 500(ii),Raising Agent-INS 503(ii),Yeast,Anti Oxidant-INS 319,Flour Treatment Agent-INS 223,Spices,Enzymes-INS 1101(i),Enzymes-INS 1100,",Natural Colours-INS 160c,Not Mentioned,Hooghly,Not Mentioned,65g,495 Kcal,,8.75g,65g,10g,,21.25g,10g,,8.5g,2.5g,,,,,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,week4,Red Indian Popcorn Barbeque,Red Indian,Popcorn Barbeque,Not Mentioned,Veg,Popcorn Snack,3,36,"Popped Corn,Edible Vegetable Oil-Refined Palmolein Oil,Salt,Maltodextrine,Sugar,Chilli,Cumin,Pepper,Coriander,Nutmeg,Wheat Flour,Garlic ,Dehydrated Herb,Flavour Enhancer-INS 627,Flavour Enhancer-INS 631,Anti Caking Agent-INS 551,Anti Oxidant-INS 319",Not Mentioned,Not Mentioned,Bangalore,Gluten,30g,522.90 Kcal,239.22 Kcal,8.73g,62.19g,1.91g,,26.58g,12g,Nil,4.08g,10.50g,,0.66g,,,,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,week4,Lotte Choco Pie,Lotte,Choco Pie,Not Mentioned,Veg,Biscuits,12,144,"Wheat Flour,Sugar,Edible Vegetable Oil-Partially Hydrogenated,Cocoa Solids,Milk Solids,Emulsifier-INS 322,Emulsifier-INS 476,Sugar,Liquid Glucose,Edible Vegetable Oil,Corn Starch,Sorbitol,Glycerol,Raising Agent-INS 500(ii),Raising Agent-INS 503(ii),Acidity Regulator-INS 341(i),Iodised Salt,Stabilizer-INS 407,Stabilizer-INS 415,Milk Solids",Not Mentioned,"Milk,Vanilla",Chennai,Not Mentioned,56g,440.2 Kcal,,4.8g,67.0g,33.7g,,17.0g,13.0g,0.32g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,week4,Patanjali Tasty Peanuts,Patanjali,Tasty Peanuts,Not Mentioned,Veg,Namkeen Snack,6,72,"Peanut,Chick Peas Flour,Skinned Black gram Flour,Cottonseed Oil,Ajwain ,Turmeric,Black Pepper,Clove Powder,Red Chilli,Coriander powder,Cumin,Dried Mango Powder,Asafoetida,Edible Common Salt,Acidity regulator-INS 330",Not Mentioned,Not Mentioned,Haridwar,Peanut,,624 Kcal,,23.42g,22.06g,2.72g,,49.17g,8.09g,0.0g,,,,880mg,,,,0 mg,,5.7mg,460mg,,,,,,,,,,,,,,,,,,,,,,,,,
111,week4,Tong Garden Party Snack,Tong Garden,Party Snack,Not Mentioned,Veg,Savouries,4,48,"Peanuts,Green Peas,Wheat Flour,Broad Beans,Chick Peas,Palm Oil,Glutinous Rice Flour,Sugar,Iodised Salt,Seasoning-Contains Soybeans,Garlic ,Sesame Seeds,Chilli,Pepper ",Not Mentioned,Not Mentioned,"Lamlukka,Thailand","Peanuts,Greens Peas,Broad Beans,Chick Peas,Soy Beans,Wheat,Sesame seeds,Tree nuts,Traces and shell pieces of nuts and other tree nuts",40g,525 cal,275 cal,20g,45g,5g,,30g,11.25g,,,,,475mg,,,7.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,week4,Dainty's Strawberry Drops,Dainty's ,Strawberry Drops,Not Mentioned,Veg,Confectionery,1.5,18,"Marvo Fat,Icing Sugar,Wheat Flour,Custard Powder,Castor Sugar",Not Mentioned,Not Mentioned,Coimbatore,Not Mentioned,150 g,171 Kcal,,4g,14g,,,11g,3g,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,week4,Golden Harvest-Fruits'n'Nuts Dry Dates,Golden Harvest-Fruits'n'Nuts,Dry Dates,Not Mentioned,Veg,Fruit Snacks,6,72,Not Given,Not Mentioned,Not Mentioned,Navi Mumbai,Not Mentioned,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,week4,Orkid Foods Milk Rusk,Orkid Foods,Milk Rusk,Not Mentioned,Veg,Rusk,1.5,18,"Wheat Flour,Sugar,Edible Vegetable Oil,Yeast,Salt,Milk Solids,Emulsifier-INS 471,Emulsifier-INS 481",Not Mentioned,Not Mentioned,Kochi,Not Mentioned,,466 Kcal,66 Kcal,12g,61g,26g,,7.2g,0.19g,0g,3g,1.2g,,2.8mg,,,2.5g,0mg,,3.996mg,,62mg,,0IU,0.7mg,0.4mg,6.06mg,,0.03mg,,0 ug,0.2mg,,,,208 ug,0.9mg,,,22.4mg,147mg,,,,,
115,week4,Patanjali Twisty Tasty,Patanjali,Twisty Tasty,Not Mentioned,Veg,Biscuits,Not Mentioned,0,"Whole Wheat Flour,Edible Vegetable Oil,Sugar,Invert Sugar Syrup,Raising Agent-INS 503(ii),Raising Agent-INS 500(ii),Milk Solids,Liquid Glucose,Salt,Dough Conditioner-INS 223,Soya Lecithin-INS 322,Acidity Regulator-INS 270,Honey,Improver-INS 1101",Not Mentioned,Not Mentioned,Hooghly,"Gluten,Milk,Soya",80g,60 Kcal,,1.3g,9.1g,2g,,2g,1g,0g,0.65g,0.13g,,,,,0.85mg,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,week4,Patanjali Roasted Diet-Rice Crispy Mixture,Patanjali,Roasted Diet-Rice Crispy Mixture,Not Mentioned,Veg,Namkeen Snack,6,72,"Rice Flakes,Peanut,Bengal Gram,Palmolein Oil,Sugar,Edible Common Salt,Dry green Mango Powder,Chilli,Cinnamon,Jeera,Black Pepper,Turmeric,Coriander,Fennel,Curry Leaves,Black Salt,Maize Starch,Acidity Regulator-INS 330,Acidity Regulator-INS 260,Anti Caking Agent-INS 551,Anti Oxidant-INS 307b",Not Mentioned,Not Mentioned,Jaipur,"Peanuts,Made in facility that processes products that contains Milk,Wheat,Soya,Tree Nuts,Sesame,Oats",,402 Kcal,,18.81g,59.85g,2.08g,,9.78g,2.13g,0g,5.53g,2.10g,,1900mg,,,1.40g,0mg,,2.72mg,,10mg,,,,,,,,,,,,,,,,,,,,,,,,
117,week4,Patanjali Marie Biscuit,Patanjali,Marie Biscuit,Not Mentioned,Veg,Biscuits,6,72,"Whole Wheat Flour,Vegetable Oils,Sugar,Honey,Milk & Milk Products,Salt,Raising Agent-INS 500(ii),Raising Agent-INS 503(ii),Anti Oxidant-INS 319,Flour Treatment Agent-INS 223",Not Mentioned,Not Mentioned,Nagpur,Not Mentioned,100g,410 Kcal,,7.6g,74g,13g,,13g,6g,Nil,3.25g,,,,,,6.4g,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,week4,Patanjali ChocoFlakes,Patanjali,ChocoFlakes,Not Mentioned,Veg,Breakfast Cereal,9,108,"Wheat Flour,Sugar,Cocoa Powder-Defatted,Iodised Salt,Malt Extract,Edible Vegetable Oil,Anti Oxidant-INS 320",Permitted Natural Colour-INS 150d,Chocolate,Sonepat ,Gluten derived from wheat,,402 Kcal,,18.81g,59.85g,2.08g,,9.78g,2.13g,0g,5.53g,2.10g,,1900mg,,,1.40g,0mg,,2.72mg,,10mg,,,,,,,,,,,,,,,,,,,,,,,,
119,week4,Patanjali Butter Cookies,Patanjali,Butter Cookies,Not Mentioned,Veg,Biscuits,6,72,"Whole Wheat Flour,Sugar,Edible Vegetable Oil-Palm Oil,Butter,Invert Sugar Syrup,Milk Solids,Raising Agent-INS 503(ii),Raising Agent-INS 500(ii),Edible Common Salt,Emulsifier-INS 322,Emulsifier-INS 472e,Dough Conditioner-INS 341,Dough Conditioner-INS 223,Improver-INS 1100",Not Mentioned,"Butter,Vanilla",Ranga Reddy,Not Mentioned,91.6g,491 Kcal,,6g,65g,22g,,23g,11g,0g,9g,3g,,,,,6g,5.4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,week4,Patanjali Creamfeast,Patanjali,Creamfeast,Not Mentioned,Veg,Biscuits,6,72,"Whole Wheat Flour,Sugar,Edible Vegetable Oil-Palm Oil,Milk Solids,Starch-COM,Invert Sugar Syrup,Dextrose,Raising Agent-INS 503(ii),Raising Agent-INS 500(ii),Edible Common Salt,Malt Extract,Soya Lecithin-INS 322,Dough Conditioner-INS 341,Dough Conditioner-INS 223",Not Mentioned,"Vanilla,Milk",Ranga Reddy,"Gluten,Milk",84g,521 Kcal,,,69g,34g,,25g,12g,0g,10g,3g,,,,,3.6g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,week5,Brown Tree Dots Cookies,Brown Tree,Dots Cookies,Not Mentioned,Veg,Cookies,2,24,"Refined Wheat Flour,Sugar,Edible Salt,Milk,Milk Solids,Wheat Fibre",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,week5,Durga Agencies Wheel Chips,Durga Agencies,Wheel Chips,Not Mentioned,Veg,Chips,2,24,"Sago,Refined Sunflower",Not Mentioned,Not Mentioned,Karur,Not Mentioned,80g,420.22 Kcal,,9.45g,7.82g,,,15.73g,10.50g,0.0g,2.0g,3.25g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07g,3g,,0.01g
123,week5,Baker Street Choco Caramel Fantasy,Baker Street,Choco Caramel Fantasy,Sarjena Foods Private Limited,Veg,Confectionery,4,48,"Wheat Flour,Sugar,Milk Solids,Corn Starch,Refined Palmoline Oil,Emulsifier-INS 422,Emulsifier-INS 471,Emulsifier-INS 475,Emulsifier-INS 466,Raising Agent-INS 500(ii),Raising Agent-INS 541,Dextrose ,Salt,Preservative-422,Stabilizer-INS 415,Glucose,Syrup,Water,Modified Starch-INS 1442,Thickener-INS 460,Thickener-INS 466,Glycerine,Preservative-202,Salt,Acidity Regulator-INS 330",Not Mentioned,Not Mentioned,Thane,"Wheat;This product is made in the facility where Milk,Tree nuts,Soya,Peanuts,Wheat,Sesame Seeds",37g,396.5 Kcal,,7.9g,50.5g,,,18.1g,,,,,,,,,,,,,,120.4mg,,,,,,,,,,,,,,,,,,,,,,,,
124,week5,Bakemine Malabar Ghajoor,Bakemine,Malabar Ghajoor,Not Mentioned,Veg,Pastries,1.3,16,"Rice Powder,Maida,Sugar,Salt,Veg.Oil",Not Mentioned,Not Mentioned,Thrissur,Not Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,week5,Tuthukudi Macaroons,Tuthukudi,Macaroons,Not Mentioned,Non Veg,Biscuits,3,36,"Sugar,Cashewnuts,Albumin",Not Mentioned,Not Mentioned,Tuticorn,"Gluten,Nuts,Egg White,Allergenic Substances",100g,461 Kcal,,9.42%,75.64%,66.73%,,11.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,week5,Naturo Pure Apple Fruit Bar,Naturo,Pure Apple Fruit Bar,Not Mentioned,VEG,Confectionery,12,144,"Apple Pulp,Sugar,Invert Sugar Syrup,Pectin-E440(A),Citric Acid-E330,Potassium Metabisulphide-E224",Not Mentioned,Not Mentioned,Bengaluru,Not Mentioned,12.5g,350 Kcal,,0.28g,87g,,,0g,0g,,,,,129mg,,,4.72g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,week5,Colonel & Co Hot Cheese Nachos,Colonel & Co,Hot Cheese Nachos,Not Mentioned,Veg,Chips,6,72,"Corn,Vegetable Oil,Quinoa Seeds,Salt,Maltodextrine,Spice & Condiments,Flavourings,Milk Solids,Edible Vegetable Fat,Dried Glucose Syrup,Milk Solids,Stabilizer-INS 339(ii),Stabilizer-INS 340(ii),Stabilizer-INS 407,Dextrose,Emulsifier-INS 471,Anti Caking Agent-INS 551,Acidity Regulator-INS 331(iii),Salt,Acidity Regulator-INS 330,Acidity Regulator-INS 270,Yeast Extract,Stabilizer-Hydrogenated Vegetable Protein,Dehydrated Vegetable-Tomato Powder,Flavour Enhancer-INS 365,Anti Caking Agent-INS 551",Not Mentioned,"Cheese,Yeast,Butter,Italian Herbs Blend,Cheese,Garlic,Masala",Nizamabad,"Dairy,Soya,Gluten",60g,458.5 Kcal,,7.8g,68.4g,1.9g,,17.8g,6.8g,0g,,,,,,,6.3g,0mg,,,189.99mg,125.75mg,,,,,,,,,,,,,,,,,,,189.62mg,,,,,
128,week5,TOO YUMM! Chilli Chataka Veggie Stix,TOO YUMM!,Chilli Chataka Veggie Stix,Guiltfree Industries Limited,Veg,Savouries,6,72,"Rice Flour,Jowar Flour,Corn Meal,Edible Vegetable Oil-Sunflower,Salt,Sugar,Spices&Condiments,Mango Powder,Acidity Regulator-INS 330,Garlic,Onion,Mustard,Anti Caking Agent-INS 551,Dehydrated Herb-Henugreek,Asafoetida,Flavour Enhancer-INS 627,Flavour Enhancer-INS 631,Anti Oxidant-INS 300,Potato Powder,Tomato Powder,Tapioca,Starch,Salt,Anti Oxidant-INS 319",Permitted Natural Color- Beetroot,"Chilli,Mango",Namakkal,Wheat,60g,452 Kcal,,7g,64g,2g,,19g,2g,0g,4g,12g,,869mg,,,3g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,week5,Opera-Potato Crisps Salt and Black Pepper,Opera-Potato Crisps,Salt and Black Pepper,Mr.Bector's Cremica,Veg,Chips,9,108,"Potatoes,Olive Oil,Palmolein Refined Oil,Salt,Dextrose,Maltodextrine,Black Pepper Powder,Black Pepper Coarse,Spices & Condiments,Flavour Enhancer-INS 627,Flavour Enhancer-INS 631,Anti Caking Agent-INS 551,Acidity Regulator-INS 330",Not Mentioned,Not Mentioned,Greater Noida,Not Mentioned,60g,562 Kcal,,5.8g,58.5g,0.22g,,34g,13g,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,week5,Hup Seng Cap Ping Pong Sugar Crackers,Hup Seng,Cap Ping Pong Sugar Crackers,Not Mentioned,Veg,Biscuits,15,180,Not Given,Not Mentioned,Not Mentioned,Batu Pahat,Not Mentioned,125g,445 Kcal,100 Kcal,7.6g,76g,16g,,12.4g,12g,6g,,,,560mg,,,<4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,week5,Splendid Bar Oats & Prunes,Splendid Bar,Oats & Prunes,Not Mentioned,Veg,Nutrition bar,2,24,"Oats,Prunes,Molasses,Sesame Seeds",Not Mentioned,Not Mentioned,-,Not Mentioned,45g,222.03 Cal,,4.30g,25.47g,,,11.43g,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,week5,Tommy Fruity,Tommy ,Fruity,Not Mentioned,Veg,Pastries,Not Mentioned,N/A,"Glucose Syrup,Sugar,Thickener-INS 1401,Thickener-INS 414,Acidity Regulator-INS 330","Artificial Colours-INS 102,INS 110,INS 124,INS 127,INS 133","Grape,Lemon,Orange,Strawberry,Pineapple","Samut Prakan,Thailand",Not Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,week5,Brown Tree Ragi Sev,Brown Tree,D/S Ragi Sev,Not Mentioned,Veg,Namkeen Snack,2,24,"Ragi Flour,Edible Oil,Iodised Salt",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,week5,Savory Peanut Butter with Bread Sticks,Savory,Peanut Butter with Bread Sticks,Not Mentioned,Veg,Savouries,9,108,"Roasted Peanuts,Sugar,Cocoa Solid,Cocoa Butter,Stabilizing Agent-INS 471,Salt,Wheat Flour,Sugar,Salt,Bakers Yeast,Anti Oxidant-INS 319,Anti Oxidant-INS 330",Not Mentioned,Not Mentioned,Modasa,"Peanuts,Gluten",,582.5 Kcal,,22.5g,27.5g,15g,,42.5g,7.5g,,,,,112.5mg,,,2.5g,,,,2.5mg,,2mg,,,27.5mg,,,,,,,,,,,,,,7.5mg,,,,,,
135,week5,Brown Tree D/S Corn Chips,Brown Tree,D/S Corn Chips,Not Mentioned,Veg,Chips,2,24,"Corn Flax,Udal Dal,Starch,Rice Flour,Salt,Spices,Vegetable Oil",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,week5,Brown Tree Sweet Orange,Brown Tree,Sweet Orange,Not Mentioned,Veg,Confectionery,6,72,"Sugar,Liquid Glucose,Citric Acid",Permitted Synthetic Food Colours,Not Mentioned,Not Mentioned,Not Mentioned,75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,week5,Lolas Funzi Balls Punch Puthina,Lolas,Funzi Balls Punch Puthina,Not Mentioned,Veg,Namkeen Snack,3,36,"Wheat Flour,Corn & Rice Grits,Finger Milet,Peal Millet,Soy,Chana Dal,Und Dal,Edible Starch,Vegetable Oil,Spices & Salt,Sugar",Not Mentioned,Tomato Powder,Chennai ,Not Mentioned,70 g,488.2 Kcal,,4.0g,69.0g,4.8g,,21.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,week5,The Grannary Whole Grain Chips,The Grannary,Whole Grain Chips,Not Mentioned,Veg,Chips,9,108,"Corn Flour,Whole Wheat Flour,Rice Flour,Whole Oat Flour,Rice Bran Oil,Salt,Sunflower Seeds,Milk Solids,Onion Powder,Garlic Powder,Anti Caking Agent-INS 551,Spices,Acidity Regulator-INS 331,Acidity Regulator-INS 330,Acidity Regulator-INS 300",Not Mentioned,Spice,Kolhapur,Not Mentioned,40g,490 Kcal,,6g,67.1g,8.8g,,22.0g,,,,,,,8.3g,,,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,week5,Peppy Tomato Discs,Peppy ,Tomato Discs,SM Foods,Veg,Namkeen Snack,4,48,"Wheat Flour,Edible Starch,Edible Vegetable Oil,Flour of Soya & Corn,Sugar,Tomato Powder,Onion Powder,Chilli Powder,Maltodextrin,Black Pepper,Acidity Regulator-INS 296,Acidity Regulator-INS 330,Salt,Baking Powder,Ground Spices and Condiments",Not Mentioned,Tomato,Puducherry,"Milk Allergy,Gluten",75g,505.2 Kcal,,8g,59.2g,6.2g,,26.3g,12g,0g,11.2g,2.6g,,,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,week5,Maiyas Sweet Shankarpali,Maiyas,Sweet Shankarpali,Not Mentioned,veg,Savouries,6,72,"Refined Wheat Flour,Sugar,Palmolein Oil,Salt",Not Mentioned,Not Mentioned,Ramanagara ,"Gluten;Made in facility that processes Peanuts,Treenuts,Milk,Wheat,Sesame",120g,445 Kcal,,5.8g,59.2g,26.3g,,20.6g,10.8g,,,,,340.0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,week5,Bambino Moong Dal-Lentilles Jaunes,Bambino,Moong Dal-Lentilles Jaunes,Not Mentioned,Veg,Namkeen Snack,7,84,"Split Green Gram,Refined Palmolein Oil,Salt,Black Salt,Malic Acid-INS 296",Not Mentioned,Not Mentioned,Hyderabad,"Traces of Nuts,Wheat Ingredients,Milk Solids",100g,480 Kcal,,20g,49g,0g,,22g,11g,0g,9g,3g,,511 mg,,,2g,,,3mg,949mg,62mg,,,,,,,,,,,,,,,,,,,,,,,,
142,week5,Dukes Nibbles-Sour Cream & Onion,Dukes ,Nibbles-Sour Cream & Onion,Not Mentioned,Veg,Biscuits,9,108,"Refined Wheat Flour,Refined Palm Oil,Sugar,Acidity Regulator-INS 270,Acidity Regulator-INS 330,Edible Common Salt,Raising Agent-INS 503(ii),Sugar Solution,Liquid Glucose,Raising Agent-INS 500(ii),Yeast ,Acidity Regulator-INS 270,Emulsifier-INS 322,Emulsifier-INS 471,Dough Conditioner-223,Improver-1101(ii)",Not Mentioned,Cheese Butter,Rangareddi,Not Mentioned,150g,453 Kcal,,8.5g,67.0g,9.3g,,16.7g,7.7g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,week5,Laban Stretchy Man,Laban,Stretchy Man,Not Mentioned,Veg,Confectionery,12,144,"Glucose Syrup,Sugar,Stabilizer-INS 407,Stabilizer-INS 418,Acidity Regulator-INS 330,Acidity Regulator-INS 331(iii)","Permitted Synthetic Food Colours-INS 110,INS 102,INS 133,INS 124","Orange,Mango,Green Mango,Strawberry",Bengaluru,Not Mentioned,26g,368 Kcal,,0.1g,92g,37g,,0g,0g,0g,,,,355mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,week5,Chupa Chups Sour Bites,Chupa Chups,Sour Bites,Not Mentioned,Veg,Confectionery,18,216,"Liquid Glucose,Sugar,Wheat Flour Refined-Maida,Invert Sugar,Hydrogenated Vegetable Oil,Acidity Regulator-INS 296,Acidity Regulator-INS 330","Permitted Synthetic Food Colours-INS 102,INS 133,INS 110,INS 122",Mixed Fruit,Kancheepuram,Not Mentioned,61.6g,359 Kcal,,2.6g,81.5g,23.1g,,2.6g,2.2g,0.02g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,week5,Akshaya Chilly Sev,Akshaya ,Chilly Sev,Not Mentioned,Veg,Savouries,1,12,"Gram Dhall Flour,Rice Flour,Salt,Chilly Powder,Refined Oil",Not Mentioned,Not Mentioned,Chennai,Not Mentioned,100g,554 Kcal,,8.3g,49.1g,,,36.1g,15.2g,,,,,673mg,,,1g,0g,,2.8mg,,52mg,,,,,,,,,,,,,,,,,,,,,,,,
146,week5,Desi Foods Dal Moth,Desi Foods,Dal Moth,Not Mentioned,Veg,Savouries,6,72,"Masoor Dhal,Chick Pea Flour,Edible Vegetable Oil,Salt,Spices & Condiments",Not Mentioned,Not Mentioned,Ranga Reddy,Not Mentioned,150g,608 Kcal,,12.0g,87.8g,,,45.4g,21.7g,0g,18.8g,4.8g,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,week5,Falcon UAE Dates Seeded,Falcon,UAE Dates Seeded,Not Mentioned,Veg,Fruit Snacks,12,144,Not Mentioned,Not Mentioned,Not Mentioned,Navi mumbai,Not Mentioned,200g,335 Kcal,,8.56g,71.84g,53.12g,,1.47g,Nil,Nil,,,,49.5mg,,,13.80g,Nil,,1.03mg,,206.0mg,,Nil,,,,,,,,,,,,,,,,,,,,,,
148,week5,Alsafaa Milk Rusk ,Alsafaa,Milk Rusk ,Not Mentioned,Veg,Rusk,4,48,"Wheat Flour,Sugar,Iodised Salt,Edible Fats,Yeast,Milk Solids",Not Mentioned,Added Flavour,Chennai,Not Mentioned,160g,,,6.52%,,,,7.08%,,,,,,,1.32%,,,,,34.2mg,0.20%,524mg,,,,,,,,,,,,,,,,,,,,,,,,
149,week5,Spencer's Smart Choice Dal Masala,Spencer's Smart Choice,Dal Masala,Not Mentioned,Veg,Savouries,4,48,"Pea Pulse,Palmolien Oil,Edible Common Salt,Spices & Condiments",Not Mentioned,Not Mentioned,Faridabad,Not Mentioned,200g,492 Kcal,,20g,58g,0g,,20g,4g,0g,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,week5,Spencer's Smart Choice Nut Cracker,Spencer's Smart Choice,Nut Cracker,Not Mentioned,Veg,Savouries,6,72,"Peanut,Edible Vegetable Oil,Husked Gram Flour,Edible Common Salt,Bishop Powder,Turmeric Powder,Lemon Powder,Mango Powder,Black Salt Powder,Clove Powder,Coriander Powder,Mace Powder,Black Pepper Powder",Not Mentioned,Not Mentioned,Faridabad,Not Mentioned,200g,597.2 Kcal,,23.8g,27.4g,1g,,43.6g,10.2g,0.2g,,,,996.4mg,,,2.84g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,week5,RiteBite Max Protein,RiteBite,Max Protein,Naturell (India) Pvt Ltd,Veg,Namkeen Snack,6,72,"Corn Flour,Wheat Protein,Rice Flour,Soy Flour,Rice Protein,Wheat Flour,Oat Fiber,Wheat Fiber,Gram Flour,Oats,Ragi Flour,Rice Bran Oil,Maltodextrin,Sugar,Salt,Dehydrated Mint Powder,Onion Powder,Garlic Powder,Black Pepper Powder,Citric Acid,Malic Acid,Spice Extracts,Condiments",Not Mentioned,Not Mentioned,Hyderabad,Not Mentioned,45g,420 Kcal,,22.22g,55.77g,4.22g,,11.33g,2.22g,0g,4.93g,4.22g,,1.11g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,week5,The Green Snack Co 6 Grain Stick-Tangy Pickle ,The Green Snack Co,6 Grain Stick-Tangy Pickle ,Not Mentioned,Veg,Savouries,Not Mentioned,0,"Maize,Oats,Ragi ,Sorghum,Soya,Rice,Sugar,Salt,Chilli,Aniseeds,Mustard,Fenugrek,Mango Powder,Acidity Regulator-INS 330,Acidity Regulator-INS 296,Maltodextrin,Hydrolysed Vegetable Protein,Anti Caking Agent-INS 551,Edible Vegetable Oil,Dehydrated Potato",Not Mentioned,Not Mentioned,Palghar(W),mustard,25g,393.3 Kcal,,10.7g,68.5g,5.6g,,8.5g,3.6g,Nil,,,,,,,11.8g,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,week6,MJA Butter Biscuits,MJA ,Butter Biscuits,Not Mentioned,Veg,Biscuits,2,24,"Wheat Flour,Vegetable Oil,Sugar,Milk,Vitamin,Salt",Not Mentioned,Vanilla,Chennai,Not Mentioned,200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,week6,Naveen Food Idicha Nilakadalai Urundai,Naveen Food,Idicha Nilakadalai Urundai,Not Mentioned,Veg,Peanut Snack,3,36,Pounded Groundnut Jaggery,Not Mentioned,Not Mentioned,Karur,Not Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,week6,Hangrow Thins-Chat Masala,Hangrow ,Thins-Chat Masala,Not Mentioned,Veg,Khakra,6,72,"Corn,Coriander Seeds,Cumin Seeds,Thymol Seeds,Mango Powder,Edible Vegetable Oil,Sea Salt",Not Mentioned,Not Mentioned,Erode,Not Mentioned,,23 Cal,,0.6g,4.26g,0.02g,,0.2g,0.03g,Nil,,,,,,,0.43g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
